Date,lat,long
05,49.183,-2.109
05,49.183,-2.109
05,49.183,-2.109
05,49.183,-2.109
05,49.183,-2.109
05,49.183,-2.109
05,49.183,-2.109
05,49.183,-2.109
05,49.183,-2.109
05,49.186,-2.115
05,49.194,-2.127
05,49.198,-2.142
05,49.183,-2.109
05,49.183,-2.109
06,49.183,-2.109
06,49.204,-2.189
06,49.204,-2.189
06,49.183,-2.109
06,49.194,-2.198
06,49.189,-2.193
06,49.189,-2.193
06,49.186,-2.115
06,49.189,-2.193
06,49.189,-2.193
06,49.187,-2.186
06,49.194,-2.127
06,49.194,-2.127
06,49.184,-2.180
06,49.183,-2.110
06,49.198,-2.139
06,49.183,-2.110
06,49.199,-2.021
06,49.188,-2.170
06,49.187,-2.170
06,49.196,-2.157
06,49.196,-2.157
06,49.196,-2.157
06,49.196,-2.157
06,49.196,-2.157
06,49.206,-2.194
06,49.186,-2.039
06,49.198,-2.146
06,49.198,-2.146
06,49.198,-2.135
06,49.198,-2.135
06,49.198,-2.135
06,49.195,-2.131
06,49.201,-2.196
06,49.198,-2.197
06,49.194,-2.127
06,49.194,-2.127
06,49.194,-2.198
06,49.195,-2.159
06,49.192,-2.124
06,49.191,-2.199
06,49.191,-2.199
06,49.191,-2.199
06,49.189,-2.197
06,49.189,-2.193
06,49.179,-2.103
06,49.188,-2.188
06,49.187,-2.186
06,49.187,-2.186
06,49.187,-2.186
06,49.169,-2.084
06,49.169,-2.084
06,49.197,-2.027
06,49.206,-2.194
06,49.183,-2.109
06,49.183,-2.109
06,49.183,-2.109
06,49.183,-2.109
06,49.183,-2.109
06,49.183,-2.109
06,49.171,-2.086
06,49.195,-2.030
06,49.195,-2.030
06,49.195,-2.030
06,49.183,-2.109
06,49.183,-2.109
06,49.183,-2.109
06,49.183,-2.109
06,49.183,-2.109
06,49.183,-2.109
06,49.174,-2.089
06,49.19,-2.038
06,49.19,-2.038
06,49.244,-2.226
06,49.244,-2.226
06,49.187,-2.170
06,49.187,-2.170
06,49.169,-2.081
06,49.206,-2.194
06,49.168,-2.080
06,49.196,-2.157
06,49.167,-2.079
06,49.198,-2.146
06,49.198,-2.146
06,49.198,-2.146
06,49.165,-2.031
06,49.194,-2.127
06,49.195,-2.131
06,49.201,-2.195
06,49.166,-2.039
06,49.194,-2.127
06,49.194,-2.127
06,49.194,-2.127
06,49.198,-2.197
06,49.194,-2.127
06,49.178,-2.091
06,49.178,-2.091
06,49.169,-2.048
06,49.251,-2.226
06,49.251,-2.226
06,49.194,-2.198
06,49.194,-2.199
06,49.179,-2.098
06,49.184,-2.220
06,49.191,-2.199
06,49.191,-2.199
06,49.191,-2.199
06,49.167,-2.064
06,49.219,-2.053
06,49.219,-2.053
06,49.185,-2.217
06,49.185,-2.217
06,49.185,-2.217
06,49.242,-2.209
06,49.187,-2.216
06,49.187,-2.216
06,49.186,-2.115
06,49.164,-2.079
06,49.188,-2.215
06,49.184,-2.181
06,49.184,-2.181
06,49.184,-2.181
06,49.183,-2.109
06,49.183,-2.109
06,49.183,-2.109
06,49.167,-2.082
06,49.210,-2.061
06,49.232,-2.202
06,49.183,-2.109
06,49.209,-2.063
06,49.209,-2.063
06,49.232,-2.202
06,49.232,-2.202
06,49.232,-2.202
06,49.232,-2.202
06,49.173,-2.089
06,49.208,-2.066
06,49.208,-2.066
06,49.187,-2.175
06,49.222,-2.192
06,49.201,-2.196
06,49.186,-2.115
06,49.177,-2.102
06,49.179,-2.035
06,49.185,-2.198
06,49.185,-2.198
06,49.198,-2.197
06,49.198,-2.197
06,49.188,-2.170
06,49.188,-2.170
06,49.198,-2.197
06,49.187,-2.170
06,49.187,-2.170
06,49.176,-2.031
06,49.199,-2.078
06,49.199,-2.078
06,49.199,-2.078
06,49.217,-2.186
06,49.194,-2.198
06,49.194,-2.198
06,49.194,-2.198
06,49.194,-2.198
06,49.194,-2.198
06,49.196,-2.082
06,49.214,-2.183
06,49.196,-2.157
06,49.191,-2.199
06,49.194,-2.164
06,49.169,-2.029
06,49.194,-2.082
06,49.194,-2.082
06,49.194,-2.082
06,49.213,-2.182
06,49.213,-2.182
06,49.213,-2.182
06,49.196,-2.157
06,49.196,-2.157
06,49.191,-2.199
06,49.191,-2.199
06,49.191,-2.199
06,49.168,-2.029
06,49.196,-2.157
06,49.189,-2.197
06,49.189,-2.197
06,49.196,-2.152
06,49.198,-2.145
06,49.182,-2.101
06,49.187,-2.186
06,49.198,-2.146
06,49.196,-2.155
06,49.166,-2.039
06,49.182,-2.102
07,49.184,-2.181
07,49.184,-2.181
07,49.184,-2.181
07,49.198,-2.142
07,49.170,-2.083
07,49.170,-2.083
07,49.170,-2.083
07,49.183,-2.109
07,49.185,-2.193
07,49.198,-2.135
07,49.198,-2.135
07,49.198,-2.135
07,49.167,-2.061
07,49.196,-2.031
07,49.173,-2.089
07,49.220,-2.057
07,49.187,-2.170
07,49.186,-2.039
07,49.193,-2.034
07,49.167,-2.061
07,49.216,-2.081
07,49.191,-2.099
07,49.191,-2.099
07,49.183,-2.109
07,49.186,-2.115
07,49.187,-2.170
07,49.187,-2.170
07,49.187,-2.170
07,49.194,-2.127
07,49.190,-2.038
07,49.219,-2.053
07,49.219,-2.053
07,49.198,-2.139
07,49.183,-2.109
07,49.169,-2.081
07,49.169,-2.081
07,49.163,-2.075
